China,10.7,13.4,14.5,15.7,17.0,18.5,24.0,36.9,53.8,113.3
St. Kitts and Nevis,10.5,11.7,12.1,12.5,13.0,13.5,15.2,18.6,28.4,69.4
Bulgaria,10.4,12.0,12.6,13.0,13.3,13.7,15.9,21.0,22.1,38.8
Brunei Darussalam,10.2,9.7,9.5,9.3,9.1,9.0,9.0,9.4,12.2,
Uruguay,10.1,11.6,12.0,12.3,12.7,13.0,14.3,16.8,23.1,54.3
Sri Lanka,9.8,10.4,10.6,10.9,11.3,11.8,14.0,16.3,21.2,71.1
Costa Rica,9.7,10.1,10.1,10.2,10.2,10.3,10.4,13.0,16.9,76.4
Russian Federation,9.6,10.8,11.4,12.0,12.7,13.5,16.7,23.2,26.0,44.2
Ukraine,9.0,10.6,11.2,11.8,12.3,12.9,14.5,18.5,19.5,
Kuwait,8.6,9.9,10.3,10.8,11.1,11.3,11.7,12.7,17.9,70.9
Maldives,8.6,10.7,11.8,13.0,14.4,16.0,22.8,44.4,94.1,260.9
Lebanon,8.3,9.3,9.7,10.1,10.7,11.3,14.1,20.0,32.5,62.7
Antigua and Barbuda,8.1,9.1,9.5,9.9,10.4,10.9,12.4,15.5,25.5,
Chile,8.1,8.6,8.7,8.8,8.8,8.9,9.1,10.9,19.1,79.6
Qatar,8.0,8.6,8.8,9.0,9.2,9.5,10.3,12.4,20.8,66.2
Latvia,7.9,8.7,9.0,9.4,9.9,10.5,12.5,17.2,20.4,
Slovak Republic,7.3,7.9,8.1,8.4,8.6,8.9,9.9,11.7,17.7,
Malaysia,7.0,7.7,7.9,8.0,8.0,8.0,8.2,10.2,16.6,55.8
United Arab Emirates,6.8,7.8,8.2,8.5,8.8,9.1,9.8,11.1,16.5,98.4
Serbia,6.7,7.1,7.3,7.6,7.8,8.0,8.9,12.6,28.4,
United States,6.5,7.1,7.2,7.4,7.5,7.7,8.0,8.4,11.2,23.3
Malta,6.4,6.7,6.7,6.7,6.8,6.8,7.0,7.8,11.3,27.8
Bahrain,6.2,7.3,7.8,8.3,8.8,9.4,10.9,12.6,23.0,76.8
Hungary,5.9,6.3,6.4,6.6,6.8,7.2,8.3,11.2,19.1,42.7
New Zealand,5.7,6.0,6.1,6.2,6.3,6.4,6.6,7.4,11.2,20.8
"Macedonia, FYR",5.5,7.4,8.6,9.9,11.0,11.8,13.7,16.0,36.6,
Cuba,5.5,5.8,6.0,6.1,6.2,6.3,6.8,8.4,13.3,43.6
Bosnia and Herzegovina,5.4,6.5,6.9,7.4,7.8,8.1,8.3,9.2,18.3,
Lithuania,5.2,5.6,6.1,6.7,7.4,8.1,9.9,11.8,16.5,25.0
Poland,5.2,5.3,5.5,5.8,6.2,6.7,7.6,9.3,17.3,36.3
Canada,4.9,5.3,5.4,5.6,5.7,5.8,6.1,6.2,8.3,22.0
Montenegro,4.7,5.7,6.2,6.8,7.4,8.1,10.4,13.8,16.6,
Belarus,4.6,5.3,5.6,6.1,6.6,7.2,9.4,14.3,16.6,
Greece,4.6,4.7,4.7,4.7,4.8,4.8,5.5,7.8,12.6,37.6
France,4.3,4.3,4.3,4.3,4.3,4.3,4.6,5.4,9.0,18.2
Croatia,4.3,4.9,5.1,5.4,5.6,5.9,6.8,8.3,12.9,
United Kingdom,4.2,4.8,5.0,5.2,5.4,5.6,6.0,6.6,9.3,21.0
Belgium,4.1,4.3,4.4,4.5,4.6,4.7,5.0,5.8,10.0,23.9
